_id,roles,username,firstName,lastName,password,email,location,position,baseSalary,saleBonusPercentage,createdAt,updatedAt,__v
6031afe5d598e87402e0ef43,"[""ADMIN""]",admin,System,Administrator,$2b$12$W93Ea0PveRT7oe96zpqAc.YJBziBI3Gj8B8Qact9QY3xpyL.kkhMi,admin@araneconsulting.com,USA,SYSTEM_ADMINISTRATOR,800,0.01,2021-02-21T00:57:09.997Z,2021-02-21T00:57:09.997Z,0
6031b0e9d598e87402e0ef44,"[""USER""]",sally.clinton,Sally,Clinton,$2b$12$9E.SEWj0vCYRv/vlKOBfcuT1pyiPAWtR7f.pJnTpkrq.jnk1ghh4C,sally.clinton@vl17insagency.com,USA,SALES_AGENT,40,0.09323853308386143,2021-02-21T01:01:29.173Z,2021-02-21T01:01:29.173Z,0
6031b69bd598e87402e0ef46,"[""USER""]",sam.rock,Sam,Rock,$2b$12$ZLFyY2mCbfUKy2i1GSoSGeLeOhQnLYycCTKvYYraZVj8cCDvLs.Ve,sam.rock@vl17insagency.com,USA,SALES_AGENT,80,0.5029770847451569,2021-02-21T01:25:47.884Z,2021-02-21T01:25:47.884Z,0
6031b69cd598e87402e0ef47,"[""USER""]",sam.clinton,Sam,Clinton,$2b$12$nLDYhfdc3Qa4qo8N.4HpnOpXoDr0pB/mBdY2WUk3UB3b.ktiUPssK,sam.clinton@vl17insagency.com,USA,SALES_AGENT,40,0.9172771187875988,2021-02-21T01:25:48.813Z,2021-02-21T01:25:48.813Z,0
6031b69dd598e87402e0ef48,"[""USER""]",eddy.greed,Eddy,Greed,$2b$12$siGrCVgJXgH0WpfIEtp.re44Ikey/0qRvyXDgLb00WGvrUjmt.CNK,eddy.greed@vl17insagency.com,USA,SALES_AGENT,10,0.3276670124002836,2021-02-21T01:25:49.698Z,2021-02-21T01:25:49.698Z,0
6031b69ed598e87402e0ef49,"[""USER""]",eddy.nielsen,Eddy,Nielsen,$2b$12$zWYRgGJFLudyGxEp7mq5feDXZjaC1AsEkoJDew/gRDq0GrJUpOgLW,eddy.nielsen@vl17insagency.com,MEXICO,SALES_CONSULTANT,100,0.6797030560053483,2021-02-21T01:25:50.593Z,2021-02-21T01:25:50.593Z,0
6031b69fd598e87402e0ef4a,"[""USER""]",eddy.lumber,Eddy,Lumber,$2b$12$8M7wn9fW2orAaLmf0vqW5uMU6iDsp.YzHc.SeJbvI62Cc3cnRuJqi,eddy.lumber@vl17insagency.com,MEXICO,SALES_CONSULTANT,30,0.6734376970940228,2021-02-21T01:25:51.599Z,2021-02-21T01:25:51.599Z,0
6031b6a0d598e87402e0ef4b,"[""USER""]",mark.junior,Mark,Junior,$2b$12$apYnDStsP7CeNtZFB/J4Auq2YwJP6udcAncwJ20UOohI9xdp/Wm3W,mark.junior@vl17insagency.com,USA,SALES_AGENT,90,0.16736716855706435,2021-02-21T01:25:52.683Z,2021-02-21T01:25:52.683Z,0
6031b6a1d598e87402e0ef4c,"[""USER""]",mark.rock,Mark,Rock,$2b$12$6aPOw87HBWNuXAmfwhdMQuVJk/XYMRuGwu1SpWg4OnL3/hVAYDPzG,mark.rock@vl17insagency.com,USA,SALES_AGENT,80,0.13638410448293103,2021-02-21T01:25:53.870Z,2021-02-21T01:25:53.870Z,0
6031b764d598e87402e0ef4d,"[""USER""]",lis.clinton,Lis,Clinton,$2b$12$Hj2OGuf4vb1LB.J2FTK6v.abqUV8yFXaZRdyw3guty9E/fQhcvWMy,lis.clinton@vl17insagency.com,MEXICO,SALES_CONSULTANT,40,0.7402163879502852,2021-02-21T01:29:08.543Z,2021-02-21T01:29:08.543Z,0
6031b783d598e87402e0ef4e,"[""USER""]",mark.sailor,Mark,Sailor,$2b$12$5cSQJqXcs12eRnylJLMkfO4IEJ9ZmRprG7vgFXKiSgwysqOzZbwNS,mark.sailor@vl17insagency.com,MEXICO,SALES_CONSULTANT,70,0.5065230693606781,2021-02-21T01:29:39.040Z,2021-02-21T01:29:39.040Z,0
6031b784d598e87402e0ef4f,"[""USER""]",mary.clinton,Mary,Clinton,$2b$12$zMOzkY2NgEYQDbYwBHc2M.PBvtwUXJoj/CrKHelRSS8XohPWx1stW,mary.clinton@vl17insagency.com,USA,SALES_AGENT,40,0.21854623549956664,2021-02-21T01:29:40.298Z,2021-02-21T01:29:40.298Z,0
6031b785d598e87402e0ef50,"[""USER""]",john.sailor,John,Sailor,$2b$12$UQnybUQwLkcjKPt0FG32zeaIOebZFeAn8OBl5CVF8DEKKnb0SZsp.,john.sailor@vl17insagency.com,USA,SALES_AGENT,70,0.7216160327566188,2021-02-21T01:29:41.170Z,2021-02-21T01:29:41.170Z,0
6031b786d598e87402e0ef51,"[""USER""]",sally.greed,Sally,Greed,$2b$12$pSHPkz/ApfzA8rD4sbWZBuaMfmrtrvnMmOx.d.VmMLZxcznhRRnwO,sally.greed@vl17insagency.com,MEXICO,SALES_CONSULTANT,10,0.4290671174014138,2021-02-21T01:29:42.076Z,2021-02-21T01:29:42.076Z,0
6031b787d598e87402e0ef52,"[""USER""]",mary.lumber,Mary,Lumber,$2b$12$keMyoT1SX.29K7/MibK3L.xJcQki/QmQgGccc24LsOuH6kqBV.yfK,mary.lumber@vl17insagency.com,USA,SALES_AGENT,30,0.5604457979517901,2021-02-21T01:29:43.351Z,2021-02-21T01:29:43.351Z,0
6031b80ed598e87402e0ef53,"[""USER""]",fred.sailor,Fred,Sailor,$2b$12$liE4/kRKQTpLH.iGG9dl5OamtoqBbocg2jUUmBkUlrsUyHVg5Fidy,fred.sailor@vl17insagency.com,USA,SALES_AGENT,70,0.7787385570266785,2021-02-21T01:31:58.500Z,2021-02-21T01:31:58.500Z,0
